customer_id,first_name,last_name,age,gender,state,occupation,annual_income,customer_segment,total_spending,average_transaction,max_transaction,total_transactions,cards_owned,credit_limit,available_limit,spending_income_ratio,customer_lifetime_days,avg_spend_per_day,high_value_customer
1,Oliver,Menon,33,Male,Tamil Nadu,Student,488786,Standard,771507.82,11345.703235294117,106901.19,68,3,138696,138688,1.5784163621707659,1986,388.47322255790533,False
2,Jai,Ganesh,45,Male,Rajasthan,Consultant,1264647,Standard,979358.28,14193.598260869565,149705.01,69,3,127397,93521,0.7744123696177668,398,2460.6991959798997,True
3,Jagdish,Rattan,56,Male,Chandigarh,Doctor,1687925,Standard,901566.4500000001,14086.975781250001,148413.92,64,3,123563,63130,0.534127079106003,1775,507.92476056338035,False
4,Orinder,Bawa,46,Male,Telangana,Consultant,2659593,Silver,624190.89,8322.5452,130557.39,75,3,189194,147004,0.23469413929123742,874,714.1772196796339,False
5,Ekaraj,Ray,35,Male,Maharashtra,Software Engineer,1686286,Standard,1006237.6,17348.924137931033,142034.5,58,2,97052,74197,0.5967182316641424,532,1891.424060150376,True
6,Saumya,Konda,24,Female,West Bengal,Teacher,448625,Standard,1352517.06,18033.5608,142535.9,75,3,132397,120789,3.014805371969908,1128,1199.0399468085106,True
7,Ekiya,Nayak,20,Female,Gujarat,Government Employee,777370,Silver,1479356.07,17004.09275862069,143773.21,87,3,199647,132763,1.903026962707591,2345,630.8554669509596,True
8,Hitesh,Jhaveri,36,Male,Chandigarh,Professor,865255,Gold,844703.1900000001,11897.228028169015,134586.75,71,2,409842,309664,0.9762476842087016,2501,337.7461775289884,False
9,Pahal,Suresh,22,Female,Madhya Pradesh,Government Employee,701629,Standard,1158421.1300000001,14851.55294871795,125890.74,78,3,129840,122179,1.6510451107351607,1253,924.5180606544295,True
10,Nathan,Palla,32,Male,Maharashtra,Business,1334671,Gold,899391.28,16060.558571428572,142109.65,56,2,658935,367697,0.6738674025284134,2737,328.6047789550603,False
11,Lakshmi,Sethi,41,Female,Uttar Pradesh,Business,2901740,Standard,858753.78,15902.847777777779,143426.67,54,2,124341,78547,0.29594442644757973,1834,468.24088331515816,False
12,Siya,Nori,62,Female,Tamil Nadu,Doctor,2605459,Gold,135579.30000000002,5649.137500000001,45212.44,24,1,507425,489266,0.05203662771127852,156,869.0980769230771,False
13,Anthony,Balan,52,Male,Karnataka,Government Employee,1165822,Silver,887161.68,17060.80153846154,139399.09,52,2,295294,235747,0.7609752432189477,80,11089.521,False
14,Oscar,Chaudhry,58,Male,Tamil Nadu,Lawyer,1595775,Silver,1201179.52,17664.404705882353,107442.07,68,3,295825,241992,0.7527248640942489,2486,483.17760257441677,True
15,Om,Magar,70,Male,Telangana,Manager,1017310,Standard,1070287.58,14865.105277777779,139681.12,72,3,139192,97090,1.0520761419822866,2745,389.90440072859747,True
16,Deepa,Nazareth,31,Female,Maharashtra,Professor,1261493,Gold,609912.77,8969.305441176472,131718.96,68,3,656664,574864,0.48348486277767694,38,16050.33605263158,False
17,Odika,Ramesh,43,Female,Gujarat,Doctor,2574554,Gold,352340.41,11744.680333333332,116123.12,30,1,702967,546938,0.13685493098998894,403,874.2938213399503,False
18,Urishilla,Ravi,33,Female,Karnataka,Software Engineer,1355493,Silver,605788.6,12620.595833333333,89282.1,48,2,218940,110066,0.4469138534835665,37,16372.664864864864,False
19,Gauri,Tripathi,55,Female,Uttar Pradesh,Government Employee,949245,Standard,697776.02,9827.831267605634,118032.81,71,3,131959,78704,0.7350852730327787,2140,326.0635607476636,False
20,Jai,Varty,23,Male,Gujarat,Software Engineer,1868554,Silver,331955.03,15807.382380952382,143949.51,21,1,257009,162077,0.17765343147696028,1137,291.9569305189094,False
21,Xavier,Amble,61,Male,Gujarat,Software Engineer,1135506,Standard,535789.43,13394.735750000002,92481.33,40,2,81385,43186,0.471850813646075,645,830.6812868217055,False
22,Jackson,Deol,47,Male,Rajasthan,Professor,1500313,Standard,263158.8,16447.425,140739.53,16,1,61226,50216,0.17540259932427432,2633,99.94637295860235,False
23,Saksham,Raman,52,Male,Uttar Pradesh,Teacher,757412,Silver,268868.57,10754.7428,116543.48,25,1,133657,126571,0.35498324557836425,2407,111.70277108433736,False
