customer_id,first_name,last_name,gender,age,city,state,occupation,annual_income,customer_segment,join_date
1,Oliver,Menon,Male,33,Chennai,Tamil Nadu,Student,488786,Standard,2021-02-03
2,Jai,Ganesh,Male,45,Jaipur,Rajasthan,Consultant,1264647,Standard,2025-05-13
3,Jagdish,Rattan,Male,56,Chandigarh,Chandigarh,Doctor,1687925,Standard,2021-09-06
4,Orinder,Bawa,Male,46,Hyderabad,Telangana,Consultant,2659593,Silver,2024-02-17
5,Ekaraj,Ray,Male,35,Pune,Maharashtra,Software Engineer,1686286,Standard,2024-12-29
6,Saumya,Konda,Female,24,Kolkata,West Bengal,Teacher,448625,Standard,2023-05-29
7,Ekiya,Nayak,Female,20,Surat,Gujarat,Government Employee,777370,Silver,2020-01-01
8,Hitesh,Jhaveri,Male,36,Chandigarh,Chandigarh,Professor,865255,Gold,2019-09-03
9,Pahal,Suresh,Female,22,Indore,Madhya Pradesh,Government Employee,701629,Standard,2022-12-30
10,Nathan,Palla,Male,32,Nagpur,Maharashtra,Business,1334671,Gold,2018-11-22
11,Lakshmi,Sethi,Female,41,Lucknow,Uttar Pradesh,Business,2901740,Standard,2021-07-06
12,Siya,Nori,Female,62,Chennai,Tamil Nadu,Doctor,2605459,Gold,2026-02-02
13,Anthony,Balan,Male,52,Bengaluru,Karnataka,Government Employee,1165822,Silver,2026-04-22
14,Oscar,Chaudhry,Male,58,Chennai,Tamil Nadu,Lawyer,1595775,Silver,2019-09-12
15,Om,Magar,Male,70,Hyderabad,Telangana,Manager,1017310,Standard,2018-12-28
16,Deepa,Nazareth,Female,31,Mumbai,Maharashtra,Professor,1261493,Gold,2026-06-06
17,Odika,Ramesh,Female,43,Ahmedabad,Gujarat,Doctor,2574554,Gold,2025-05-19
18,Urishilla,Ravi,Female,33,Bengaluru,Karnataka,Software Engineer,1355493,Silver,2026-03-19
19,Gauri,Tripathi,Female,55,Noida,Uttar Pradesh,Government Employee,949245,Standard,2020-09-01
20,Jai,Varty,Male,23,Ahmedabad,Gujarat,Software Engineer,1868554,Silver,2023-04-21
21,Xavier,Amble,Male,61,Surat,Gujarat,Software Engineer,1135506,Standard,2024-09-14
22,Jackson,Deol,Male,47,Jaipur,Rajasthan,Professor,1500313,Standard,2019-02-07
23,Saksham,Raman,Male,52,Noida,Uttar Pradesh,Teacher,757412,Silver,2019-12-11
24,Hemangini,Ray,Female,28,Kolkata,West Bengal,Teacher,553878,Standard,2020-02-19
25,Wakeeta,Suri,Female,24,Chandigarh,Chandigarh,Consultant,1649320,Gold,2023-01-13
26,Chandani,Maharaj,Female,41,Bengaluru,Karnataka,Consultant,1734293,Silver,2020-08-25
27,Manan,Parmer,Male,19,Ahmedabad,Gujarat,Government Employee,839902,Standard,2023-07-08
28,Urvi,Bala,Female,33,Delhi,Delhi,Business,2004335,Gold,2024-10-13
29,Girindra,Misra,Male,70,Ahmedabad,Gujarat,Teacher,783730,Standard,2022-09-28
30,Balvan,Mangat,Male,28,Chandigarh,Chandigarh,Software Engineer,1796739,Standard,2024-09-21
31,Charvi,Bhakta,Female,64,Surat,Gujarat,Doctor,2330985,Silver,2024-10-07
32,Amruta,Hans,Female,51,Ahmedabad,Gujarat,Professor,1483119,Standard,2025-10-30
33,Tarak,Chopra,Male,19,Pune,Maharashtra,Doctor,1334272,Silver,2019-03-02
34,Mitesh,Padmanabhan,Male,22,Delhi,Delhi,Government Employee,730914,Silver,2022-06-13
35,Christopher,Kala,Male,20,Noida,Uttar Pradesh,Doctor,1341348,Gold,2018-10-28
36,Ekaraj,Prashad,Male,60,Chennai,Tamil Nadu,Consultant,1898263,Standard,2022-02-26
37,Jagat,Savant,Male,33,Ahmedabad,Gujarat,Government Employee,1104201,Silver,2020-06-27
38,Aadhya,Nanda,Female,60,Mumbai,Maharashtra,Doctor,1397815,Standard,2019-02-01
39,Isha,Yadav,Female,64,Nagpur,Maharashtra,Professor,1679421,Standard,2024-09-30
40,Liam,Toor,Male,39,Indore,Madhya Pradesh,Student,311089,Gold,2019-05-20
41,Gaurav,Sachar,Male,52,Hyderabad,Telangana,Doctor,1601793,Standard,2022-02-13
42,Vanya,Saini,Female,33,Ahmedabad,Gujarat,Software Engineer,1384151,Gold,2024-01-05
